id,name,price,shelledTotal,leftTotal,category
612,Muscletech肌肉科技高性能增肌粉 7磅 香草味,¥ 349,市场价：¥527 30天累计售出92件,库存: 88,增肌最佳组合
612,ON 欧普特蒙 金牌健肌粉 香草冰激凌味 5磅,¥ 369,市场价：¥799 30天累计售出91件,库存: 7,增肌最佳组合
612,ON 欧普特蒙 金牌健肌粉 巧克力味 5磅,¥ 369,市场价：¥799 30天累计售出91件,库存: 21,增肌最佳组合
612,Metrx美瑞克斯 乳清蛋白粉 5磅 巧克力味,¥ 410,市场价：¥829 30天累计售出102件,库存: 19,蛋白粉类
612,Muscletech肌肉科技白金乳清蛋白粉 5磅 香草味,¥ 430,市场价：¥430 30天累计售出84件,库存: 35,蛋白粉类
612,Allmax 奥麦斯乳清蛋白粉 5磅 巧克力口味,¥ 376,市场价：¥372 30天累计售出46件,库存: 149,蛋白粉类
612,Muscletech肌肉科技正氮蛋白粉4磅牛奶巧克力味,¥ 379,市场价：¥598 30天累计售出26件,库存: 133,蛋白粉类
612,Metrx美瑞克斯 乳清蛋白粉 5磅 香草味,¥ 410,市场价：¥599 30天累计售出67件,库存: 33,蛋白粉类
612,PipingRock 分离乳清零添加 544g,¥ 129,市场价：¥249 30天累计售出44件,库存: 12,蛋白粉类
612,BIOX-PREMIUM/百欧克斯 卓越系列 乳清蛋白粉5磅 香草味,¥ 471,市场价：¥998 30天累计售出1005件,库存: 9,蛋白粉类
612,Allmax奥麦斯 分离乳清蛋白粉 草莓味 5磅,¥ 598,市场价：¥598 30天累计售出5件,库存: 101,蛋白粉类
612,CPT康比特乳清蛋白（巧克力）2270g,¥ 462,市场价：¥798 30天累计售出28件,库存: 92,蛋白粉类
612,Muscletech肌肉科技 白金乳清蛋白粉 5磅 巧克力味,¥ 430,市场价：¥430 30天累计售出88件,库存: 37,蛋白粉类
612,Nutrend 诺特兰德 支链氨基酸强化弹药 500g,¥ 328,市场价：¥460 30天累计售出2件,库存: 5,蛋白粉类
612,Scivation Xtend支链氨基酸 1152克 西瓜味,¥ 398,市场价：¥684 30天累计售出56件,库存: 7,蛋白粉类
612,BIOX-PREMIUM/百欧克斯 卓越系列 支链氨基酸bcaa 蓝莓口味 30份,¥ 178,市场价：¥398 30天累计售出56件,库存: 15,蛋白粉类
612,Scivation Xtend支链氨基酸 1174克 葡萄味,¥ 398,市场价：¥684 30天累计售出37件,库存: 42,蛋白粉类
612,BPI复合肌酸 西瓜味 300克,¥ 158,市场价：¥158 30天累计售出31件,库存: 79,肌酸类
612,BPI复合肌酸 冰激凌味 300克,¥ 158,市场价：¥310 30天累计售出31件,库存: 32,肌酸类
612,Muscletech肌肉科技 高性能量子肌酸 原味 120份,¥ 198,市场价：¥599 30天累计售出55件,库存: 79,肌酸类
612,Muscletech肌肉科技白金肌酸粉400g,¥ 129,市场价：¥299 30天累计售出65件,库存: 654,肌酸类
612,EAS 麦普乐 纯肌酸 500克,¥ 158,市场价：¥328 30天累计售出12件,库存: 10,肌酸类
612,Muscletech肌肉科技 高性能量子肌酸 水果味 120份,¥ 198,市场价：¥599 30天累计售出55件,库存: 60,肌酸类
612,BPI支链氨基酸 西瓜味 300克,¥ 155,市场价：¥342 30天累计售出29件,库存: 219,氨基酸类
612,Scivation X-tend支链氨基酸柠檬味 30份 390克,¥ 170,市场价：¥330 30天累计售出56件,库存: 18,氨基酸类
612,Scivation Xtend支链氨基酸 1248克 蓝莓味,¥ 398,市场价：¥398 30天累计售出26件,库存: 12,氨基酸类
